url,app_id,name
https://github.com/vanilla-music/vanilla,ch.blinkenlights.android.vanilla,Vanilla Music
https://github.com/reloZid/android-anuto,ch.logixisland.anuto,Anuto TD
https://github.com/TheUberCatman/crates-io-android,com.bmco.cratesiounofficial,Crates.io unofficial
https://github.com/Grarak/KernelAdiutor,com.grarak.kerneladiutor,Kernel Adiutor
https://github.com/Phantast/smartnavi,com.ilm.sandwich,SmartNavi
https://github.com/quaap/Primary,com.quaap.primary,Primary
https://github.com/jonan/ForkHub,jp.forkhub,ForkHub
https://github.com/czlee/debatekeeper,net.czlee.debatekeeper,Debatekeeper
https://github.com/SecUSo/privacy-friendly-pain-diary,org.secuso.privacyfriendlypaindiary,Pain Diary
https://github.com/SecUSo/privacy-friendly-todo-list,org.secuso.privacyfriendlytodolist,To-Do List
